Area Code (FAO),Year,population,yield,harvested,Value
9,1988,31690.792,18344,4686615.0,8596900.0
9,1989,32165.766,18947,5307274.0,10055700.0
9,1990,32637.657,18947,5307274.0,10055700.0
9,1991,33105.763,18972,5817300.0,11036600.0
9,1992,33568.285,21809,4584550.0,9998500.0
9,1993,34027.24,23272,4295200.0,9995900.0
9,1994,34488.696,20237,4811300.0,9736500.0
9,1995,34946.11,21675,5262580.0,11406460.0
9,1996,35389.362,19344,4932950.0,9542315.0
9,1997,35815.971,22426,7182040.0,16106700.0
9,1998,36233.195,26088,5783030.0,15086820.0
9,1999,36653.031,23028,5471860.0,12600600.0
9,2000,37070.774,24873,6222980.0,15478660.0
9,2001,37480.493,24934,6475695.0,16146620.0
9,2002,37885.028,22398,6887970.0,15427820.0
9,2003,38278.164,20361,6089630.0,12399040.0
9,2004,38668.796,25441,5782072.0,14710175.0
9,2005,39070.501,26356,6123570.0,16139170.0
9,2006,39476.851,25302,5028140.0,12721976.0
9,2007,39876.111,26234,5589230.0,14662945.0
9,2008,40273.769,28271,5831684.0,16486532.0
9,2009,40684.338,19628,4334780.0,8508156.0
9,2010,41100.123,27113,3325457.0,9016373.0
9,2011,41520.74,35063,4582575.0,16067929.0
9,2012,41952.365,32199,4560213.0,14683475.0
9,2013,42388.269,26581,3060199.0,8134409.0
9,2014,42824.054,26619,3451785.0,9188339.0
9,2015,43257.065,28100,4957300.0,13930078.0
9,2016,43668.241,28623,3953102.0,11314952.0
9,2017,44054.616,33047,5566385.0,18395106.0
9,2018,44413.596,31806,5822173.0,18518045.0
9,2019,44745.52,32160,6050953.0,19459727.0
9,2020,45036.032,29387,6729838.0,19776942.0
1,1992,3574.555,21600,65500.0,141483.0
1,1993,3457.349,22257,97900.0,217900.0
1,1994,3373.713,17842,85697.0,152900.0
1,1995,3322.782,25480,60362.0,153800.0
1,1996,3298.898,23569,85450.0,201400.0
1,1997,3271.418,17009,108000.0,183700.0
1,1998,3240.55,20651,118300.0,244300.0
1,1999,3206.03,19466,110129.0,214380.0
1,2000,3168.523,16679,106581.0,177762.0
1,2001,3133.133,22263,108554.0,241679.0
1,2002,3105.037,23877,119224.0,284670.0
1,2003,3084.102,17183,126112.0,216698.0
